country,LifeExpectancyBothUN,LifeExpectancyMaleUN,LifeExpectancyFemaleUN,LifeExpectancyBothWB,LifeExpectancyMaleWB,LifeExpectancyFemaleWB
MK,75.26,73.1,77.47,76,74,78
LV,76.06,71.66,80.2,75,71,80
GQ,61.97,60.23,64.01,61,59,63
TT,74.87,71.48,78.31,74,71,78
BH,80.69,79.68,81.92,79,78,80
EE,79.31,75.2,83.11,78,74,83
MU,75.69,72.77,78.73,74,71,78
CY,82.05,80.26,83.81,81,79,83
SZ,57.71,53.97,61.86,60,56,64
DJ,63.71,61.22,66.3,63,60,65
RU,74.57,69.52,79.29,71,66,76
FJ,68.45,66.57,70.41,68,66,70
KM,65.04,62.91,67.35,64,62,67
GY,69.8,66.36,73.33,68,65,72
BT,72.49,70.8,74.45,72,70,74
SB,70.86,69.38,72.51,70,69,72
BL,80.84,77.83,83.89,,,
LU,82.74,80.64,84.89,82,79,84
SR,72.79,69.42,76.25,73,69,76
ME,77.78,74.61,80.82,76,73,79
MF,80.76,77.72,83.79,80,77,83
MT,83.85,81.81,85.83,83,81,85
MV,81.07,80.3,82.06,80,79,81
SX,76.02,73.12,79.32,78,74,83
BZ,74.62,71.7,77.89,73,70,77
BS,74.49,70.89,77.97,73,69,76
GP,83.33,79.68,86.43,,,
IS,82.96,81.55,84.41,83,82,85
MQ,83.45,80.44,86.09,,,
YT,78.01,74.73,81.46,,,
VU,70.69,68.48,73.27,70,69,72
GF,77.63,74.94,80.48,,,
PF,83.7,81.49,86.09,82,79,86
NC,81.18,77.75,84.74,81,77,85
BB,77.86,75.83,79.74,77,75,79
ST,68.89,66.13,72.04,68,65,71
WS,72.75,70.28,75.5,73,70,75
KR,84.14,80.83,87.23,73,71,76
LC,74.12,70.74,77.68,73,70,77
GU,78.52,75.06,82.2,77,72,82
KI,67.83,65.88,69.59,67,65,69
GD,75.49,72.74,78.45,75,72,78
SY,72.45,68.82,76.27,72,69,76
JE,81.43,79.2,83.64,,,
TO,71.41,68.68,74.28,71,68,74
SC,75,71.31,79.36,77,73,82
AW,76.9,73.95,79.62,76,73,78
TZ,67.6,65.46,69.8,66,64,69
AG,79.42,76.71,81.8,79,76,81
IM,81.28,79.47,83.1,81,79,83
AD,83.71,81.6,85.97,,,
DM,74.2,70.95,77.78,77,75,79
KY,75.72,73.39,78.29,82,80,85
BM,81.75,78.65,84.64,82,78,86
GG,82.94,81.26,84.58,,,
GL,72.72,70.23,76.09,71,70,73
FO,79.07,77.49,80.86,83,81,86
KN,72.18,68.81,75.82,71,69,74
TC,76.06,73.32,79.04,75,72,78
TR,78.68,75.62,81.67,76,73,79
AS,72.87,70.12,75.7,,,
MH,65.28,63.65,67.25,65,63,68
LI,84.77,83.16,86.23,82,80,84
MC,87.01,85.17,88.99,,,
SM,83.58,82.21,84.85,,,
GI,83,81.13,84.85,82,80,84
US,76,70.72,81.69,80,77,83
VA,84.16,82.17,86.03,,,
PW,65.54,62.36,69.5,69,66,72
CK,75.34,71.64,79.19,,,
AI,77.64,74.34,81.31,,,
NR,64.19,60.67,68.01,,,
TV,65.05,61.32,69.57,64,61,69
WF,80.15,79.14,81.14,,,
VE,72.89,68.76,77.25,71,67,76
PM,77.78,74.2,81.82,,,
MS,76.01,74.65,77.71,,,
VN,74.74,70.12,79.42,75,71,80
NU,71.33,69.57,73.05,,,
TK,75.49,74.51,76.35,,,
