country,LifeLadder,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment,SuicideRate
KG,5.563699722,0.904273272,66.84999847,0.91787082,0.206922323,0.90251559,0.659907758,0.226462573,0.582115293,7.4
CG,4.920531273,0.567651093,56.84999847,0.737661481,-0.018990656,0.732729912,0.567556679,0.420455933,0.522122145,6.5
LV,6.353090763,0.954086423,66.40000153,0.815278113,-0.099032037,0.839525342,0.716414034,0.18593426,0.294602394,20.1
LB,2.178809404,0.50677526,66.15000153,0.42269668,-0.142942175,0.9052791,0.263486832,0.569100618,0.106694363,2.8
LT,6.864572525,0.928175211,67.40000153,0.707402527,-0.117042378,0.877800763,0.66699332,0.191300765,0.303830445,26.1
MW,3.635283232,0.557914317,58.20000076,0.757269025,-0.008707583,0.740276992,0.550894737,0.325555235,0.514003277,5.4
ML,4.11309576,0.573393524,55.40000153,0.672789276,-0.002413505,0.90156728,0.639572978,0.438466877,0.499018282,4.1
MT,6.443715096,0.897113085,71.59999847,0.889073849,,0.752515912,0.635253549,0.375325114,0.662024558,6.1
MU,5.949120045,0.886509895,63.84999847,0.802364588,-0.007317984,0.783532083,0.665566385,0.135523796,0.527145624,9.5
MX,5.99075079,0.778605103,65.80000305,0.837159336,-0.03136697,0.745186806,0.750247896,0.30510965,0.483326107,5.3
MN,5.72103405,0.92711699,60.5,0.666846633,0.217352957,0.850720286,0.560003579,0.202482358,0.257001966,17.9
MA,5.326248646,0.504563928,63.90000153,0.761806488,-0.19156757,0.817366838,0.554495931,0.340848327,,7.2
MZ,5.178486824,0.664022684,51.29999924,0.838100493,0.048486661,0.62746644,0.575794935,0.383462697,0.731971681,13.6
MM,4.314039707,0.779576421,61.54999924,0.631394386,0.514833272,0.671063483,0.636049151,0.267805815,0.305712879,2.9
NP,4.622300148,0.698646426,61.84999847,0.817544639,0.149796292,0.769947886,0.414381087,0.35387665,0.617541671,9
NL,7.314151287,0.918759406,71.55000305,0.85629344,0.269323587,0.396572888,0.714353323,0.201159164,0.584738791,11.8
NZ,7.13670063,0.949832201,70.34999847,0.910249829,0.219341666,0.252423555,0.747143626,0.206175357,0.634897828,11
NI,6.095348835,0.848263025,65.65000153,0.904980481,0.026981786,0.674668729,0.798928738,0.292643428,0.589501441,4.4
NG,4.47926569,0.741560102,55.04999924,0.725732863,0.052173574,0.911945105,0.666297317,0.188105255,0.252334535,3.5
MK,5.534749985,0.808856964,66.5,0.79296577,0.192517072,0.884325325,0.563352823,0.303365707,0.359121591,9.4
NO,7.361573696,0.947877407,71.5,0.936379194,0.169224352,0.263276964,0.769433558,0.20719704,0.773523211,11.8
PK,4.486834526,0.608395636,57.45000076,0.763992071,0.020692177,0.742719173,0.517665982,0.307363391,,8.9
PA,6.552778721,0.898621261,68.90000153,0.810681999,-0.140521035,0.861062586,0.834382474,0.217544228,0.334807962,2.9
PY,5.575535297,0.907541871,65.90000153,0.887960792,0.02379535,0.856721044,0.806078374,0.248322532,0.290166408,6
PE,5.694317818,0.818539441,69.84999847,0.811777532,-0.085864142,0.879913747,0.783769429,0.368650228,0.30032289,2.8
PH,5.96505785,0.778192103,62.04999924,0.905275464,-0.00859355,0.72116226,0.789731145,0.322941482,0.763208687,2.2
PL,5.978068829,0.935534835,69.05000305,0.731805563,0.127401829,0.743913174,0.699575484,0.277231276,0.259251654,11.3
PT,6.183014393,0.894941688,71.25,0.892121136,-0.20704861,0.872229338,0.628748119,0.284006834,0.576186419,11.5
RO,6.548725605,0.834509134,67.05000305,0.870957971,-0.182472154,0.928280115,0.673982322,0.264397413,0.192293614,9.7
SA,6.44529438,0.859361112,64.40000153,0.902473032,-0.101232871,,0.728473246,0.228370279,,6
SN,4.902830601,0.645179272,60,0.758525133,0.034219597,0.82134825,0.812411606,0.264975786,0.454221755,6
RS,6.245267391,0.890106082,67.15000153,0.850367904,0.26693216,0.806221604,0.567632556,0.311130971,0.605454803,11.4
SL,3.714294434,0.609334111,54.5,0.659139514,0.108862124,0.851488411,0.537982225,0.448415697,0.753032207,6.7
SG,6.586717129,0.876408994,73.80000305,0.878701091,,0.144935384,0.696990192,0.159802228,0.89762181,11.2
SK,6.418503761,0.951163888,68.94999695,0.74153322,0.048633955,0.895546556,0.69156754,0.241131321,0.215807587,12.1
SI,6.761220932,0.955252588,71.05000305,0.851086736,0.030901229,0.754198194,0.642823279,0.261042506,0.339235812,19.8
ZA,5.598653793,0.922238767,57.25,0.703564703,-0.142795756,0.891578615,0.78432101,0.172806978,0.508961499,23.5
ES,6.469611168,0.926416755,72.34999847,0.781794965,-0.071897864,0.729346991,0.639074683,0.323980331,0.371703804,7.7
LK,4.10344696,0.812373936,67.19999695,0.771430016,-0.006883008,0.848541498,0.733172596,0.311583638,0.504923344,14
SE,7.439280033,0.931819558,72.15000153,0.953379214,0.176988468,0.191473097,0.762894452,0.190008253,0.6335361,14.7
CH,7.327672482,0.934393048,72.90000153,0.907875359,0.026588805,0.286672562,0.74678129,0.182606846,0.837848067,14.5
TJ,5.286824226,0.882888913,62.29999924,,-0.064693846,0.498924732,0.655013323,0.240199998,,4.3
TH,5.638096809,0.882821918,68.44999695,0.835590303,0.293198258,0.943129361,0.71892941,0.297737539,0.239433169,8.8
TG,4.036543846,0.603399694,57.20000076,0.618520677,0.041643929,0.765818477,0.627953172,0.417280585,0.547805727,8.8
TN,4.49948597,0.711321533,67,0.591229916,-0.201641768,0.932745636,0.451362312,0.335503727,0.317189902,3.3
UG,4.224533558,0.793349564,59.15000153,0.710621119,0.088556364,0.835011721,0.699308991,0.358832955,0.558759928,4.6
UA,5.311355114,0.879308522,64.55000305,0.769904315,0.170837387,0.922350943,0.574909985,0.25038904,0.213765517,21.6
AE,6.733067513,0.826060593,66.30000305,0.95132792,0.158868521,,0.696669996,0.217109919,,6.4
GB,6.866961956,0.854029596,70.30000305,0.815077186,0.254903495,0.447526574,0.683882475,0.265625894,0.394753993,7.9
US,6.959087849,0.920008719,65.84999847,0.815734804,0.192203477,0.686591566,0.739682019,0.277191907,0.404625207,16.1
UY,6.501700401,0.913873136,67.5,0.8987239,-0.047106676,0.60564214,0.746208131,0.26320982,0.485830873,21.2
UZ,6.18530798,0.895503759,65.30000305,0.927415252,0.188774511,0.661561668,0.698459327,0.232672125,0.912673354,8
ZM,3.082154989,0.619071007,55.25,0.832573771,0.142836854,0.824030817,0.655689895,0.348551363,0.697677791,7.3
ZW,3.154578209,0.685150504,54.04999924,0.667636156,-0.109439008,0.756945193,0.609917223,0.241681874,0.665703177,14.1
IR,4.78781414,0.771469533,66.59999847,0.609310269,0.187419236,0.761170328,0.517929852,0.42716375,0.617649436,5.2
CI,5.055806637,0.554224849,55.95000076,0.717105269,-0.000176828,0.715896964,0.625795424,0.344690382,0.668288469,8.9
XK,6.648499489,0.848838627,,0.84011656,,0.842378795,0.578284323,0.116078317,0.577198744,
LA,4.926521778,0.649893284,61.09999847,0.927041471,0.041928682,0.668031454,0.702153087,0.291677624,,5.4
MD,5.959048748,0.879554033,65.30000305,0.832602262,-0.090259023,0.875060678,0.630283237,0.270110786,0.363787621,14.7
RU,5.448261261,0.861716568,64.94999695,0.670810163,0.058407594,0.807839274,0.590086401,0.1900727,0.45699209,25.1
KR,6.112745285,0.810740769,73.65000153,0.717086375,-0.029297361,0.685114563,0.566271067,0.22117126,0.433829188,28.6
TW,6.246744156,0.866297543,,0.818467379,,0.675438643,0.667416632,0.122979514,0.437147856,
TZ,3.68056798,0.618984401,59.40000153,0.821772814,0.113013744,0.546387076,0.648245037,0.246362492,0.89139092,4.3
TR,4.366639614,0.736194909,68.75,0.44652763,-0.033108227,0.810165942,0.297092021,0.470578879,0.426014364,2.4
VE,5.107553005,0.812418044,64.05000305,0.595620394,,0.823898435,0.697586775,0.389350802,0.175912097,2.1
VN,5.540249825,0.799493909,65.5,0.896800399,0.126362011,0.797787547,0.650598168,0.28043741,,7.5
AO,,,,,,,,,,6.1
AG,,,,,,,,,,0.4
BB,,,,,,,,,,0.6
BZ,,,,,,,,,,7.1
BN,,,,,,,,,,2.7
CV,,,,,,,,,,12.9
CU,,,,,,,,,,14.5
KP,,,,,,,,,,9.4
CD,,,,,,,,,,6.7
DJ,,,,,,,,,,9.6
GQ,,,,,,,,,,7.9
ER,,,,,,,,,,10.9
FJ,,,,,,,,,,9
GD,,,,,,,,,,0.7
GW,,,,,,,,,,7
GY,,,,,,,,,,40.3
KI,,,,,,,,,,28.3
FM,,,,,,,,,,28.2
OM,,,,,,,,,,4.9
PG,,,,,,,,,,3
WS,,,,,,,,,,12.6
ST,,,,,,,,,,1.5
SC,,,,,,,,,,8.1
SB,,,,,,,,,,14.7
LC,,,,,,,,,,7.9
VC,,,,,,,,,,1
SD,,,,,,,,,,3.8
SR,,,,,,,,,,25.4
BS,,,,,,,,,,3.5
TL,,,,,,,,,,3.7
TO,,,,,,,,,,3.8
VU,,,,,,,,,,18
