country,electricity_access_pct,internet_pct,InternetSpeedsFixedBroadbandDownloadSpeed,BestHealthcareInTheWorldLegatumProsperityIndexHealthScore2023,CountriesWithoutMcDonalds
NL,100,92.053,177.88,82.05,
NZ,100,95.9102,163.16,79.84,
MK,100,83.0182,39.08,72.63,
NO,100,99,123.63,82.98,
OM,100,96.3801,67.64,75.44,
PW,100,26.9703,,,x
PY,100,77.0184,83.92,70.84,
PL,100,85.3749,133.35,76.31,
PT,100,82.309,150.45,77.44,
QA,100,100,127.04,77.64,
RO,100,83.5904,191.36,73.02,
RU,100,88.2138,81.95,71.38,x
SM,100,74.8623,70.82,,
SA,100,100,102.41,75.34,
RS,100,81.1659,70.95,71.93,
SC,100,81.5931,27.56,77.44,x
SG,100,91.0994,264.15,86.89,
SK,100,88.9256,69.4,76.74,
SI,100,89.004,88.68,79.88,
ES,100,93.9,189.37,79.66,
LK,100,66.6815,19.57,76.58,
KN,100,79.4731,55.9,,x
LC,100,78.0956,99.96,,x
VC,100,84.9128,90.11,,
SE,100,88.3078,127.33,82.28,
CH,100,95.57,187.48,82.11,
TH,100,85.27,218.94,78.92,
BS,100,94.2938,54.65,,
TL,100,39.4513,,,x
TO,100,71.5866,,,x
TT,100,79,100.68,74.13,
TR,100,81.41,38.12,74.19,
TM,100,21.251,8.68,75.59,x
UA,100,79.2183,72.42,68.71,
AE,100,100,235.72,78.38,
GB,100,96.6802,84.93,78.31,
US,100,91.7532,215.72,73.26,
UY,100,90.0738,143.06,77.98,
VN,100,74.21,104.08,76.99,
PS,100,74.6,64.82,,x
MO,,,160.52,,
TW,,,157.55,83.37,
HK,,,263.07,81.33,
EH,,,20.25,,
BM,,,,,x
GL,,,,,x
FK,,,,,x
VA,,,,,x
