country,MostPeaceful2023GPI,MostPeaceful2022GPI,MostPeacefulChange20222023,MostPeaceful2021GPI,MostPeacefulChange20212022
MN,1.765,1.775,0.01,1.783,0.008
UY,1.798,1.795,-0.003,1.817,0.022
MD,1.873,1.882,0.009,1.909,0.027
BA,1.892,1.85,-0.042,1.97,0.12
GM,1.888,1.792,-0.096,1.853,0.061
AL,1.745,1.761,0.016,1.824,0.063
JM,1.986,1.99,0.004,1.992,0.002
AM,1.929,1.992,0.063,2.075,0.083
QA,1.524,1.533,0.009,1.605,0.072
BW,1.762,1.801,0.039,1.753,-0.048
LT,1.671,1.724,0.053,1.689,-0.035
NA,1.859,1.908,0.049,1.927,0.019
GA,2.068,1.973,-0.095,2.074,0.101
LS,2.191,2.089,-0.102,2.202,0.113
GW,2.045,2.156,0.111,2.113,-0.043
SI,1.334,1.316,-0.018,1.315,-0.001
MK,1.713,1.704,-0.009,1.744,0.04
LV,1.582,1.673,0.091,1.686,0.013
GQ,2.013,1.863,-0.15,1.915,0.052
TT,1.946,2.005,0.059,2.029,0.024
BH,2.145,2.085,-0.06,2.121,0.036
TL,1.796,1.839,0.043,1.873,0.034
EE,1.563,1.662,0.099,1.612,-0.05
MU,1.546,1.57,0.024,1.592,0.022
CY,1.904,1.903,-0.001,1.912,0.009
SZ,2.168,2.033,-0.135,1.955,-0.078
DJ,2.196,2.213,0.017,2.146,-0.067
GY,2.134,2.14,0.006,2.114,-0.026
BT,1.496,1.481,-0.015,1.51,0.029
ME,1.772,1.801,0.029,1.847,0.046
IS,1.124,1.107,-0.017,1.1,-0.007
