country,mostBeautifulWomen,mostHandsomeMen
IT,1,2
GB,2,
BO,3,
CA,4,
IN,5,24
PH,6,13
NL,7,
SE,8,
BG,9,
AR,10,
TR,11,3
KR,12,17
PK,13,
UA,14,
AF,15,
TH,16,
ES,17,5
JM,18,
LT,19,
VE,20,15
EG,21,
FR,22,4
RU,23,7
MA,24,
PL,25,
IL,26,
ID,27,23
CO,28,
GH,29,
BR,30,
SY,,1
GR,,6
DE,,8
US,,9
JO,,10
TN,,11
IR,,12
AM,,14
AZ,,16
NO,,18
AU,,19
IQ,,20
PT,,21
RO,,22
DK,,25
