country,gdp,inflation,tax_revenue_pct_gdp,unemployment_pct
RS,63501800000,11.9815,20.6203,9.473
SC,1588410000,8.27686,32.4802,
SL,3970340000,27.2083,,3.635
SG,4.67E+11,6.12106,13.1247,2.758
SK,1.15E+11,12.7741,19.2891,6.094
SI,62117800000,8.8337,18.2955,4.18
SB,1595710000,5.51813,20.6681,1.543
SO,8126110000,,7.87E-05,20.047
ZA,4.06E+11,7.03973,25.9158,29.806
SS,11997800000,-6.68732,,12.975
ES,1.40E+12,8.39058,15.225,13.009
LK,74403600000,49.7211,7.37503,6.705
KN,961563000,2.66739,15.0322,
LC,2065030000,6.37815,18.2415,17.362
VC,948559000,5.6601,23.7996,18.975
SD,51662200000,138.808,7.39027,18.73
SR,3620660000,52.446,,8.639
SE,5.86E+11,8.36929,27.3368,7.358
CH,8.08E+11,2.83503,10.2547,4.202
SY,11159300000,36.7023,,9.61
TJ,10492100000,6.00458,9.82102,7.828
TZ,75709300000,4.35027,11.6951,2.762
TH,4.95E+11,6.07741,14.3241,0.862
BS,12897400000,5.60541,13.9812,10.056
GM,2273060000,11.5131,18.2048,4.78
TL,3163320000,0.958813,15.1034,4.864
TG,8126440000,7.96757,13.5836,4.066
TO,469228000,10.9714,,3.011
TT,27899100000,2.05923,19.5188,3.982
TN,46664900000,8.30646,20.1155,16.124
TR,9.06E+11,72.3088,17.8818,10.03
TM,45610600000,,,5.019
TV,60349400,0.500581,,
UG,45559200000,7.19579,12.4589,4.28
UA,1.61E+11,20.1836,19.0823,9.83
AE,5.08E+11,4.82789,0.535446,2.754
GB,3.07E+12,7.92205,26.3807,3.571
US,2.55E+13,8.0028,11.2336,3.611
UY,71177100000,9.10438,18.5155,7.841
UZ,80391900000,11.4466,14.7859,6.006
VU,983583000,2.34328,14.0403,2.089
VE,4.82E+11,254.949,,5.328
VN,4.09E+11,3.15651,,1.923
PS,19111900000,1.23748,21.4746,25.724
YE,21606200000,8.10473,,13.59
ZM,29784500000,10.9932,16.7416,6.131
ZW,20678100000,104.705,7.21477,7.945
