country,birth_rate,death_rate,life_expectancy,population_female,population_male,population,median_age
MN,21.413,6.131,71,1712979,1685387,3398366,22.9
ME,11.4,14.8,74,316129,300030,616159,34.4
MA,17.545,6.17,74,18605603,18852368,37457971,25
MZ,36.598,8.793,59,16793302,16176217,32969518,13
MM,17.103,9.769,66,27216740,26962566,54179306,25.3
NA,27.439,10.709,59,1328449,1238563,2567012,17.4
NR,27.56,6.633,64,6233,6435,12668,16.3
NP,20.402,7.776,68,15901334,14646246,30547580,20
NL,10.2,9.8,81,8904226,8798863,17703090,37.9
NZ,11.48,6.83,82,2584111,2539990,5124100,32.8
NI,20.507,4.859,74,3524605,3423787,6948392,20.9
NE,45.293,8.141,62,12914594,13293383,26207977,10.5
NG,37.117,13.083,53,108093075,110448136,218541212,13.2
MK,10.2,15.5,75,1032057,1025621,2057679,34.5
NO,10.4,7.8,83,2703524,2753603,5457127,35.6
OM,18.419,3.796,73,1790804,2785494,4576298,24.9
PK,27.519,7.168,66,116863982,118960880,235824862,16.5
PW,13.4,10.2,69,8679,9376,18055,31.7
PA,17.692,6.067,76,2204170,2204410,4408581,25.1
PG,25.514,6.683,65,4910305,5232314,10142619,18
PY,20.627,7.638,70,3378612,3402132,6780744,21.9
PE,17.622,7.988,72,17192503,16857086,34049588,24.4
PH,21.813,7.311,69,56879731,58679278,115559009,20.8
PL,8.8,13.8,76,19377247,18184352,37561599,36.3
PT,7.7,12.1,81,5481814,4897193,10379007,41.4
QA,9.816,1.311,79,740889,1954233,2695122,29.6
RO,9.3,17.5,73,9787040,9169625,18956666,37.4
RU,9.6,16.7,69,76884903,66670833,143555736,35
RW,29.976,6.28,66,7035658,6741039,13776698,15.2
WS,27.254,5.343,73,109007,113375,222382,16.7
SM,6.2,9.1,,17281,16380,33660,42.7
ST,28.263,6.387,68,113972,113407,227380,14.6
SA,17.473,2.864,77,15429586,20979233,36408820,26.2
SN,32.573,5.922,67,8800406,8516043,17316449,14
RS,9.1,20,73,3519916,3240171,6760087,39
SC,16.8,9.3,73,47382,52679,100060,28.8
SL,31.36,9.113,60,4293526,4312192,8605718,15.1
SG,8.6,5.8,83,2689047,2947974,5637022,38.3
SK,10.4,13.5,75,2777654,2654098,5431752,36
SI,9,11,81,1048703,1060028,2108732,39.5
SB,29.785,5.028,70,354373,369899,724273,15.4
SO,43.561,11.596,55,8775069,8822442,17597511,11.3
ZA,19.821,11.432,62,30725879,29168006,59893885,23.3
SS,29.107,11.05,55,5508626,5404538,10913164,12.5
ES,7.1,9.5,83,24278328,23336706,47615034,40.3
LK,14.019,7.36,76,11498234,10682766,22181000,28.8
KN,12.125,10.181,72,24646,23011,47657,30.4
LC,11.49,10.299,71,90909,88948,179857,29.5
VC,12.901,13.425,70,51020,52928,103948,29.1
SD,33.596,6.799,65,23454198,23420005,46874204,14.5
SR,18.154,8.667,70,310416,307625,618040,24.1
SE,11,8.8,83,5201777,5285164,10486941,35.6
CH,10.3,8.2,84,4414771,4354970,8769741,38.1
SY,20.111,5.117,72,11046621,11078628,22125249,17.7
TJ,26.749,4.548,72,4944055,5008732,9952787,17.7
TZ,36.21,6.222,66,33126817,32370931,65497748,13
TH,8.999,7.922,79,36890933,34806096,71697030,35.8
BS,11.445,8.986,72,214167,195817,409984,28.9
GM,33.257,7.543,62,1359657,1346335,2705992,13.1
TL,24.944,7.233,68,657338,683957,1341296,16.7
TG,31.856,8.168,62,4400474,4448225,8848699,14.8
TO,23.045,6.97,71,54010,52848,106858,17.9
TT,11.687,9.131,73,775955,755090,1531044,31.9
TN,16.093,7.884,74,6257745,6098372,12356117,28
TR,14.678,6.398,76,42578812,42762429,85341241,27.3
TM,21.592,6.585,69,3244911,3185860,6430770,22
TV,23.484,10.159,65,5513,5799,11312,21
UG,36.795,5.877,63,23848253,23401332,47249585,12.2
UA,7.3,18.5,70,20550751,17449249,38000000,38.9
AE,10.307,1.874,79,2893385,6547744,9441129,29.3
GB,10.1,9.7,81,33876563,33094847,66971411,35.9
US,11,10.4,76,168266219,165021339,333287557,33.9
UY,10.473,12.162,75,1764421,1658372,3422794,31.5
UZ,25.9,5,71,17809564,17838536,35648100,22.7
VU,29.438,5.395,70,162433,164308,326740,15.6
VE,15.877,8.124,71,14304904,13996791,28301696,24.2
VN,15.008,7.317,74,49685569,48501287,98186856,28.4
PS,28.236,3.815,73,2527169,2516444,5043612,15.4
YE,30.544,6.845,64,16673411,17023203,33696614,14.8
ZM,34.511,6.973,61,10140033,9877642,20017675,13.2
ZW,30.537,9.057,59,8614935,7705601,16320537,14.2
