country,Year,Disaster Type,Entry Criteria
CL,2021,Storm,Affected
ES,2021,Storm,SigDam
ID,2021,Earthquake,Kill
ID,2021,Flood,Kill
PY,2021,Flood,Affected
BO,2021,Flood,Kill
JP,2021,Storm,Kill
TW,2021,Storm,Kill
IN,2021,Glacial lake outburst,Kill
MZ,2021,Storm,Kill
MY,2021,Flood,Affected
AU,2021,Wildfire,Affected
BO,2021,Flood,Affected
CN,2021,Drought,SigDam
FJ,2021,Storm,Affected
ID,2021,Landslide,Affected
ID,2021,Flood,Affected
IR,2021,Earthquake,Affected
JP,2021,Earthquake,Affected
MA,2021,Flood,Kill
MG,2021,Storm,Kill
PH,2021,Flood,Affected
PY,2021,Flood,Affected
SY,2021,Flood,Affected
US,2021,Storm,Waiting
ZA,2021,Storm,Kill
ZW,2021,Storm,Kill
BR,2020,Storm,Kill
CH,2020,Storm,Kill
CO,2020,Storm,Kill
FJ,2020,Storm,Affected
GT,2020,Storm,Affected
PH,2020,Storm,Kill
PH,2020,Storm,Kill
SV,2020,Storm,Kill
PK,2020,Storm,Kill
BR,2020,Flood,Waiting
GT,2020,Flood,Affected
KZ,2020,Flood,Affected
PS,2020,Extreme temperature,Affected
IT,2020,Flood,Affected
PK,2020,Flood,Kill
AU,2020,Storm,SigDam
NI,2020,Storm,Affected
IT,2020,Storm,Affected
UG,2020,Storm,Waiting
SO,2020,Storm,Affected
TH,2020,Storm,Affected
AF,2020,Storm,Kill
BD,2020,Flood,Kill
BA,2020,Flood,Affected
BO,2020,Flood,Affected
BR,2020,Flood,Affected
BR,2020,Flood,Affected
BR,2020,Flood,Kill
BR,2020,Flood,Kill
CI,2020,Flood,Affected
CO,2020,Flood,Affected
CO,2020,Flood,Affected
GT,2020,Storm,Kill
GT,2020,Flood,Affected
HN,2020,Storm,Kill
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Kill
ID,2020,Flood,Kill
IN,2020,Flood,Affected
IN,2020,Flood,Kill
IT,2020,Flood,Waiting
IT,2020,Storm,Kill
JP,2020,Flood,Kill
KE,2020,Flood,Kill
KR,2020,Storm,Kill
KR,2020,Flood,Kill
MG,2020,Flood,Affected
MX,2020,Storm,Affected
MX,2020,Flood,Affected
MX,2020,Flood,Kill
MY,2020,Flood,Affected
NP,2020,Flood,Kill
PK,2020,Flood,Kill
PE,2020,Flood,Affected
PE,2020,Flood,Affected
PE,2020,Flood,Affected
PG,2020,Flood,Affected
PR,2020,Earthquake,Affected
RW,2020,Flood,Kill
RW,2020,Flood,Kill
RW,2020,Flood,Kill
TH,2020,Flood,Affected
TH,2020,Flood,Affected
TZ,2020,Flood,Affected
UG,2020,Flood,Affected
UG,2020,Flood,Kill
UG,2020,Flood,Affected
ID,2020,Flood,Kill
MM,2020,Landslide,Kill
NG,2020,Flood,Affected
PR,2020,Earthquake,Affected
MM,2020,Flood,Affected
CA,2020,Storm,Affected
AU,2020,Flood,SigDam
HN,2020,Flood,Affected
IL,2020,Flood,SigDam
SD,2020,Flood,Kill
UY,2020,Flood,Affected
JP,2020,Storm,Waiting
MN,2020,Storm,--
AR,2020,Storm,Affected
AM,2020,Storm,Affected
BI,2020,Storm,Affected
CN,2020,Landslide,Affected
CO,2020,Landslide,Kill
CU,2020,Storm,Affected
DO,2020,Storm,Affected
IN,2020,Storm,Waiting
KH,2020,Storm,Kill
KR,2020,Storm,Affected
LA,2020,Storm,Kill
MG,2020,Storm,Kill
MX,2020,Storm,SigDam
PE,2020,Landslide,Kill
PH,2020,Storm,Affected
UY,2020,Storm,Affected
BF,2020,Drought,Affected
LS,2020,Drought,Affected
MG,2020,Drought,Affected
ML,2020,Drought,Affected
MZ,2020,Drought,Affected
MR,2020,Drought,Affected
NE,2020,Drought,Affected
IN,2020,Storm,Kill
IR,2020,Flood,Affected
TR,2020,Storm,Affected
CN,2020,Flood,Kill
CN,2020,Storm,Waiting
EG,2020,Flood,Kill
SB,2020,Storm,--
CG,2020,Flood,Kill
RW,2020,Flood,Kill
AF,2020,Flood,Kill
AF,2020,Flood,Waiting
AF,2020,Flood,Kill
AF,2020,Flood,Kill
AF,2020,Landslide,Kill
AF,2020,Flood,Kill
AO,2020,Flood,Kill
AO,2020,Flood,Affected
AR,2020,Flood,Affected
AU,2020,Storm,Declar
BI,2020,Flood,Affected
BI,2020,Flood,Affected
BE,2020,Storm,Waiting
BE,2020,Extreme temperature,Kill
BJ,2020,Flood,Affected
BF,2020,Flood,Affected
BF,2020,Flood,Affected
BF,2020,Flood,Affected
BD,2020,Storm,Kill
BZ,2020,Storm,Affected
BO,2020,Flood,Kill
BR,2020,Drought,SigDam
CA,2020,Flood,Affected
CN,2020,Storm,Kill
CN,2020,Earthquake,Affected
CN,2020,Storm,Kill
CN,2020,Storm,Affected
CN,2020,Wildfire,Kill
CN,2020,Flood,Kill
CN,2020,Flood,Affected
CN,2020,Flood,Kill
CN,2020,Flood,Kill
CM,2020,Flood,Affected
CG,2020,Flood,Affected
CO,2020,Storm,Affected
CO,2020,Flood,Kill
CR,2020,Storm,Affected
CU,2020,Storm,Affected
CZ,2020,Storm,Waiting
DE,2020,Storm,Waiting
DJ,2020,Flood,Affected
DO,2020,Storm,Affected
DO,2020,Storm,Affected
DZ,2020,Earthquake,Affected
EC,2020,Volcanic activity,Affected
EC,2020,Flood,Affected
ES,2020,Storm,Affected
ET,2020,Landslide,Kill
ET,2020,Flood,Kill
ET,2020,Landslide,Kill
ET,2020,Flood,Affected
FJ,2020,Storm,Affected
FJ,2020,Storm,--
FR,2020,Flood,Waiting
FR,2020,Flood,Affected
FR,2020,Storm,Kill
FR,2020,Storm,Affected
FR,2020,Storm,Waiting
FR,2020,Extreme temperature,Kill
FR,2020,Flood,Affected
GB,2020,Flood,Affected
GB,2020,Storm,Waiting
GB,2020,Extreme temperature,Kill
GE,2020,Flood,Affected
GH,2020,Flood,Affected
GH,2020,Flood,Affected
GN,2020,Flood,Affected
GR,2020,Earthquake,Kill
GR,2020,Flood,Waiting
GR,2020,Flood,Affected
GT,2020,Storm,Kill
GF,2020,Flood,Affected
HN,2020,Storm,Affected
HN,2020,Storm,Kill
HR,2020,Earthquake,SigDam
HR,2020,Earthquake,SigDis
HT,2020,Storm,Affected
ID,2020,Earthquake,Affected
ID,2020,Volcanic activity,Affected
ID,2020,Volcanic activity,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Landslide,Kill
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
IN,2020,Landslide,Kill
IN,2020,Landslide,Kill
IN,2020,Storm,Kill
IN,2020,Storm,Affected
IN,2020,Flood,Kill
IN,2020,Flood,Waiting
IN,2020,Flood,Kill
IR,2020,Earthquake,Waiting
IR,2020,Landslide,Kill
IR,2020,Insect infestation,SigDis
IR,2020,Flood,Affected
IR,2020,Flood,Waiting
IR,2020,Flood,Kill
IR,2020,Flood,Kill
IR,2020,Flood,Affected
IQ,2020,Flood,Waiting
IL,2020,Wildfire,Waiting
IT,2020,Landslide,Affected
IT,2020,Storm,Waiting
IT,2020,Flood,Waiting
JP,2020,Storm,SigDam
JP,2020,Storm,Affected
KH,2020,Storm,Kill
KR,2020,Storm,SigDam
KR,2020,Flood,Kill
LA,2020,Storm,Affected
LB,2020,Wildfire,Waiting
LC,2020,Epidemic,Affected
LK,2020,Storm,Kill
LK,2020,Flood,Affected
LK,2020,Flood,Affected
MX,2020,Earthquake,Kill
MX,2020,Storm,Affected
MX,2020,Storm,Affected
MX,2020,Storm,SigDam
MN,2020,Flood,Affected
MN,2020,Flood,Affected
MN,2020,Flood,Affected
MZ,2020,Flood,Affected
MZ,2020,Flood,Kill
MR,2020,Flood,Waiting
MR,2020,Flood,Affected
MW,2020,Flood,Affected
MY,2020,Flood,Affected
MY,2020,Flood,Affected
MY,2020,Flood,Affected
MY,2020,Flood,Affected
NA,2020,Flood,Affected
NE,2020,Flood,Kill
NE,2020,Flood,Affected
NG,2020,Epidemic,Kill
NG,2020,Epidemic,Affected
NG,2020,Flood,Kill
NG,2020,Flood,Kill
NI,2020,Storm,Kill
NL,2020,Extreme temperature,Kill
NO,2020,Landslide,Kill
NZ,2020,Wildfire,Affected
NZ,2020,Flood,Declar
NZ,2020,Flood,Affected
OM,2020,Flood,Affected
PK,2020,Landslide,Kill
PK,2020,Insect infestation,Declar
PK,2020,Flood,Kill
PK,2020,Flood,Waiting
PA,2020,Flood,Kill
PA,2020,Storm,Affected
PA,2020,Storm,Kill
PH,2020,Earthquake,Waiting
PH,2020,Volcanic activity,Affected
PH,2020,Landslide,Kill
PH,2020,Storm,Affected
PH,2020,Storm,Affected
PH,2020,Storm,Kill
PG,2020,Flood,Waiting
PG,2020,Flood,Affected
PG,2020,Landslide,Kill
PG,2020,Landslide,Kill
PL,2020,Storm,Waiting
PL,2020,Flood,Affected
PR,2020,Storm,Affected
KP,2020,Flood,Affected
PY,2020,Epidemic,Kill
RO,2020,Flood,Affected
RW,2020,Flood,Affected
SA,2020,Flood,Affected
SN,2020,Flood,Affected
SV,2020,Storm,Affected
SV,2020,Storm,Kill
SV,2020,Landslide,Kill
SO,2020,Flood,Affected
SO,2020,Flood,Kill
SK,2020,Flood,Affected
SI,2020,Storm,Waiting
SE,2020,Storm,Waiting
SY,2020,Wildfire,Waiting
TD,2020,Flood,Affected
TD,2020,Flood,Affected
TG,2020,Flood,Kill
TH,2020,Storm,Affected
TH,2020,Flood,Affected
TH,2020,Storm,Kill
TH,2020,Storm,Kill
TJ,2020,Flood,Affected
TO,2020,Storm,--
TN,2020,Flood,Affected
TR,2020,Earthquake,Kill
TR,2020,Earthquake,Waiting
TR,2020,Earthquake,Waiting
TR,2020,Earthquake,Affected
TR,2020,Earthquake,Kill
TR,2020,Flood,Affected
TR,2020,Flood,SigDam
TR,2020,Landslide,Kill
TR,2020,Flood,Kill
TV,2020,Storm,Affected
TW,2020,Storm,Kill
TZ,2020,Flood,Affected
TZ,2020,Flood,Kill
TZ,2020,Flood,Affected
UG,2020,Flood,Kill
UG,2020,Flood,Affected
UA,2020,Wildfire,Affected
UA,2020,Wildfire,Affected
UA,2020,Flood,Affected
US,2020,Storm,SigDam
US,2020,Storm,SigDam
US,2020,Storm,SigDam
UZ,2020,Flood,Affected
US,2020,Storm,Kill
VN,2020,Storm,Waiting
US,2020,Storm,Affected
ZA,2020,Storm,Affected
VN,2020,Flood,Affected
VN,2020,Storm,Kill
CD,2020,Flood,Kill
RS,2020,Flood,Affected
US,2020,Flood,Declar
ZM,2020,Flood,Affected
US,2020,Storm,SigDam
US,2020,Storm,Waiting
YE,2020,Flood,Waiting
US,2020,Drought,Kill
US,2020,Storm,Kill
US,2020,Storm,Waiting
US,2020,Storm,Kill
US,2020,Storm,SigDam
US,2020,Storm,Affected
US,2020,Storm,Declar
VN,2020,Storm,Affected
VN,2020,Storm,Kill
VN,2020,Storm,Kill
VN,2020,Storm,Affected
US,2020,Storm,SigDam
US,2020,Storm,Affected
US,2020,Storm,Waiting
US,2020,Storm,SigDam
US,2020,Flood,Affected
US,2020,Storm,Affected
US,2020,Storm,Affected
US,2020,Wildfire,Kill
VC,2020,Epidemic,Affected
VE,2020,Flood,Affected
VN,2020,Storm,Affected
VN,2020,Storm,Waiting
VN,2020,Storm,Kill
VN,2020,Storm,Affected
VU,2020,Storm,--
YE,2020,Flood,Kill
YE,2020,Flood,Kill
YE,2020,Flood,Waiting
YE,2020,Flood,Kill
ZA,2020,Flood,Affected
CD,2020,Flood,Kill
CD,2020,Epidemic,Kill
CD,2020,Flood,Affected
CD,2020,Flood,Affected
CD,2020,Flood,Affected
CD,2020,Flood,Kill
ZM,2020,Flood,Affected
ZM,2020,Flood,Affected
TL,2020,Flood,Affected
SS,2020,Flood,Affected
BO,2019,Flood,Kill
AF,2019,Flood,Kill
CN,2019,Storm,Kill
BD,2019,Flood,Kill
AF,2019,Flood,Affected
AF,2019,Flood,Kill
BA,2019,Flood,Affected
BR,2019,Flood,Kill
BR,2019,Flood,Waiting
BR,2019,Flood,Kill
CO,2019,Flood,Kill
ES,2019,Flood,SigDam
CA,2019,Flood,Affected
AR,2019,Flood,Affected
BR,2019,Flood,Affected
CI,2019,Flood,Kill
ES,2019,Flood,Declar
AU,2019,Wildfire,Affected
KM,2019,Storm,Kill
EC,2019,Landslide,Affected
ES,2019,Storm,Affected
AT,2019,Storm,Declar
CH,2019,Storm,Declar
DZ,2019,Extreme temperature,Affected
AF,2019,Flood,Kill
AF,2019,Flood,Kill
AF,2019,Flood,Kill
AO,2019,Flood,Affected
AO,2019,Flood,Kill
AL,2019,Earthquake,Affected
AL,2019,Earthquake,Affected
AR,2019,Flood,Affected
AR,2019,Flood,Affected
AM,2019,Storm,Affected
AU,2019,Flood,SigDis
AT,2019,Extreme temperature,Waiting
BI,2019,Flood,Kill
BE,2019,Extreme temperature,Kill
BE,2019,Extreme temperature,Waiting
BD,2019,Storm,Kill
BD,2019,Landslide,Affected
BD,2019,Storm,Kill
BS,2019,Storm,Kill
BA,2019,Flood,Declar
BO,2019,Volcanic activity,Affected
BO,2019,Wildfire,SigDis
BO,2019,Landslide,Kill
BO,2019,Flood,Affected
BR,2019,Flood,Affected
BR,2019,Wildfire,SigDis
CL,2019,Earthquake,Waiting
CL,2019,Flood,Affected
CN,2019,Storm,--
CN,2019,Earthquake,Kill
CN,2019,Earthquake,Kill
CN,2019,Earthquake,Affected
CN,2019,Flood,Kill
CN,2019,Flood,Affected
CN,2019,Landslide,Kill
CN,2019,Storm,Affected
CN,2019,Storm,Affected
CN,2019,Wildfire,Kill
CN,2019,Landslide,Kill
CN,2019,Flood,Kill
CN,2019,Flood,Kill
CN,2019,Flood,Kill
CG,2019,Epidemic,Kill
CG,2019,Epidemic,Affected
CG,2019,Epidemic,Kill
CO,2019,Epidemic,Affected
CO,2019,Flood,Affected
CO,2019,Landslide,Kill
CR,2019,Epidemic,Affected
CU,2019,Storm,Affected
DE,2019,Storm,Declar
DE,2019,Extreme temperature,Kill
DE,2019,Extreme temperature,Waiting
DO,2019,Epidemic,Affected
EC,2019,Earthquake,Affected
EC,2019,Earthquake,Affected
EC,2019,Flood,Affected
ES,2019,Extreme temperature,Kill
MG,2019,Flood,SigDis
PE,2019,Flood,Kill
MA,2019,Landslide,Kill
RU,2019,Flood,Kill
IN,2019,Storm,Kill
MX,2019,Flood,Affected
RO,2019,Flood,Affected
IQ,2019,Flood,Kill
GT,2019,Storm,Affected
GT,2019,Storm,Affected
MN,2019,Extreme temperature,Affected
LB,2019,Storm,Affected
ES,2019,Flood,Waiting
ID,2019,Flood,Affected
ID,2019,Flood,Affected
ID,2019,Flood,Kill
IN,2019,Flood,Affected
IN,2019,Flood,Affected
IR,2019,Flood,Kill
JP,2019,Earthquake,Affected
JP,2019,Flood,Affected
JP,2019,Flood,Kill
KE,2019,Flood,Affected
LK,2019,Flood,Affected
LK,2019,Flood,Affected
MM,2019,Flood,Kill
MZ,2019,Storm,Kill
NP,2019,Flood,Kill
PK,2019,Flood,Kill
PK,2019,Flood,Kill
PK,2019,Flood,Kill
PK,2019,Flood,Kill
PK,2019,Flood,Kill
PE,2019,Flood,Kill
PG,2019,Flood,Waiting
SL,2019,Flood,Waiting
SV,2019,Earthquake,Affected
TJ,2019,Flood,Affected
TD,2019,Landslide,Kill
ID,2019,Earthquake,Affected
IN,2019,Flood,Kill
ES,2019,Flood,Affected
MD,2019,Extreme temperature,Affected
ID,2019,Landslide,Kill
IN,2019,Storm,Kill
JP,2019,Storm,Kill
MX,2019,Storm,Affected
KE,2019,Drought,Affected
NA,2019,Drought,Declar
PK,2019,Drought,Affected
KP,2019,Drought,Declar
SO,2019,Drought,Affected
MM,2019,Landslide,Kill
MA,2019,Flood,Kill
PL,2019,Storm,Affected
ET,2019,Flood,Affected
ET,2019,Landslide,Kill
ET,2019,Epidemic,Kill
FR,2019,Storm,Affected
FR,2019,Extreme temperature,Kill
FR,2019,Extreme temperature,Waiting
FR,2019,Flood,Waiting
FM,2019,Storm,Affected
GB,2019,Extreme temperature,Kill
GE,2019,Flood,Affected
GH,2019,Flood,Kill
GH,2019,Flood,Kill
GR,2019,Storm,Waiting
GT,2019,Epidemic,Kill
HN,2019,Epidemic,Affected
HR,2019,Flood,Declar
HT,2019,Flood,Affected
HT,2019,Flood,Affected
HU,2019,Storm,--
ID,2019,Earthquake,Affected
ID,2019,Earthquake,Affected
ID,2019,Earthquake,Affected
ID,2019,Earthquake,Kill
ID,2019,Flood,Kill
ID,2019,Landslide,Affected
ID,2019,Flood,Affected
ID,2019,Flood,Affected
ID,2019,Flood,Affected
IN,2019,Storm,Kill
IN,2019,Storm,Kill
IN,2019,Extreme temperature,Kill
IN,2019,Extreme temperature,Kill
IN,2019,Epidemic,Kill
IN,2019,Epidemic,Affected
IN,2019,Flood,Kill
IR,2019,Earthquake,Affected
IR,2019,Flood,Kill
IR,2019,Flood,Affected
IT,2019,Extreme temperature,Kill
IT,2019,Flood,Affected
JP,2019,Storm,Affected
JP,2019,Storm,Affected
JP,2019,Extreme temperature,Kill
JP,2019,Extreme temperature,Kill
JP,2019,Flood,Affected
KE,2019,Epidemic,Kill
KH,2019,Flood,Kill
KR,2019,Storm,Affected
KR,2019,Storm,Affected
KR,2019,Storm,Affected
KR,2019,Wildfire,Affected
LA,2019,Drought,Declar
LA,2019,Flood,Kill
LY,2019,Flood,Affected
LK,2019,Epidemic,Kill
LK,2019,Drought,Waiting
LU,2019,Storm,Affected
MA,2019,Flood,Waiting
MG,2019,Storm,Kill
MV,2019,Flood,Affected
MX,2019,Storm,Affected
MX,2019,Flood,Affected
ML,2019,Flood,Kill
ML,2019,Flood,Affected
MM,2019,Flood,Affected
MN,2019,Storm,Affected
MN,2019,Flood,Affected
MZ,2019,Storm,Kill
MZ,2019,Epidemic,Affected
MZ,2019,Flood,Kill
MZ,2019,Flood,Kill
MR,2019,Flood,Waiting
MW,2019,Landslide,Affected
MW,2019,Flood,Kill
MW,2019,Flood,Kill
MY,2019,Flood,Affected
NE,2019,Flood,Kill
NE,2019,Flood,Affected
NG,2019,Epidemic,Affected
NG,2019,Epidemic,Kill
NG,2019,Epidemic,Affected
NG,2019,Flood,Affected
NG,2019,Flood,Kill
NG,2019,Flood,Kill
NI,2019,Epidemic,Affected
NL,2019,Extreme temperature,Waiting
NO,2019,Landslide,Affected
NP,2019,Storm,Kill
OM,2019,Flood,Waiting
PK,2019,Earthquake,Kill
PK,2019,Flood,Kill
PK,2019,Storm,Kill
PK,2019,Flood,Kill
PK,2019,Flood,Kill
PE,2019,Earthquake,Affected
PE,2019,Volcanic activity,Affected
PE,2019,Wildfire,SigDis
PE,2019,Landslide,Kill
PH,2019,Earthquake,Kill
PH,2019,Earthquake,Affected
PH,2019,Earthquake,Affected
PH,2019,Earthquake,Affected
PH,2019,Storm,Affected
PH,2019,Storm,Affected
PH,2019,Storm,Affected
PH,2019,Epidemic,Kill
PH,2019,Epidemic,Kill
PH,2019,Drought,Affected
PH,2019,Flood,Affected
PG,2019,Earthquake,Affected
PG,2019,Volcanic activity,Affected
PG,2019,Landslide,Kill
KP,2019,Storm,Affected
PY,2019,Flood,Affected
PY,2019,Flood,Affected
PY,2019,Wildfire,SigDis
PY,2019,Flood,Affected
RU,2019,Wildfire,SigDis
RU,2019,Flood,Kill
RU,2019,Flood,Affected
RU,2019,Flood,Affected
SA,2019,Flood,Kill
SA,2019,Flood,Waiting
SD,2019,Flood,Kill
SD,2019,Flood,Affected
SL,2019,Flood,Affected
SV,2019,Epidemic,Affected
SO,2019,Flood,Affected
SK,2019,Storm,Affected
SY,2019,Flood,Affected
TD,2019,Flood,Kill
TH,2019,Storm,Affected
TH,2019,Drought,Declar
TH,2019,Flood,Kill
US,2019,Flood,Declar
IT,2019,Storm,SigDam
PH,2019,Storm,Affected
PH,2019,Storm,Kill
SO,2019,Storm,Affected
IT,2019,Storm,Affected
AU,2019,Wildfire,Affected
FR,2019,Storm,SigDam
IT,2019,Storm,Affected
MG,2019,Storm,Affected
US,2019,Storm,SigDam
UG,2019,Landslide,Kill
US,2019,Storm,Kill
TR,2019,Flood,Affected
US,2019,Flood,Affected
VN,2019,Flood,Kill
VN,2019,Flood,Affected
VN,2019,Flood,Affected
YE,2019,Flood,Kill
ZA,2019,Flood,Kill
BI,2019,Flood,Kill
BR,2019,Flood,Affected
BR,2019,Flood,Affected
CN,2019,Flood,Kill
DJ,2019,Flood,Affected
FR,2019,Flood,Affected
ID,2019,Flood,Kill
ID,2019,Flood,Kill
LK,2019,Flood,Affected
PE,2019,Flood,Affected
UG,2019,Flood,Kill
UG,2019,Flood,Kill
ID,2019,Wildfire,Declar
US,2019,Storm,Affected
US,2019,Storm,Waiting
US,2019,Flood,Affected
ZA,2019,Flood,Waiting
MZ,2019,Flood,Affected
US,2019,Storm,Kill
UG,2019,Landslide,Kill
US,2019,Storm,Declar
US,2019,Storm,Kill
US,2019,Storm,Affected
ZW,2019,Storm,Kill
CA,2019,Storm,SigDam
FR,2019,Storm,Affected
FR,2019,Storm,Affected
KE,2019,Landslide,Kill
MX,2019,Storm,SigDam
BW,2019,Drought,Declar
ET,2019,Insect infestation,Waiting
KE,2019,Insect infestation,Waiting
SD,2019,Insect infestation,Waiting
SO,2019,Insect infestation,Waiting
UG,2019,Insect infestation,Waiting
ZW,2019,Drought,Affected
US,2019,Storm,Waiting
TR,2019,Earthquake,Affected
TR,2019,Flood,Kill
TR,2019,Flood,Affected
TW,2019,Storm,Kill
TZ,2019,Storm,Kill
TZ,2019,Epidemic,Affected
TZ,2019,Flood,Affected
TZ,2019,Flood,Kill
TZ,2019,Flood,Kill
UG,2019,Flood,Kill
UG,2019,Flood,Affected
UY,2019,Flood,Affected
UY,2019,Flood,Affected
US,2019,Storm,Kill
US,2019,Storm,Affected
US,2019,Earthquake,Waiting
US,2019,Storm,SigDam
US,2019,Wildfire,Affected
US,2019,Flood,Affected
VN,2019,Drought,Declar
VN,2019,Flood,Kill
VN,2019,Flood,Kill
YE,2019,Flood,Affected
YE,2019,Epidemic,Kill
YE,2019,Flood,Waiting
ZA,2019,Flood,Kill
CD,2019,Landslide,Kill
ZM,2019,Flood,Kill
ZW,2019,Flood,Kill
RS,2019,Flood,Affected
SS,2019,Flood,Affected
SS,2019,Epidemic,Affected
SS,2019,Wildfire,Kill
SS,2019,Flood,Affected
AF,2019,Landslide,Kill
AO,2019,Flood,Kill
AL,2019,Earthquake,Kill
AR,2019,Drought,Affected
BI,2019,Landslide,Kill
BE,2019,Extreme temperature,Kill
BJ,2019,Epidemic,Kill
BD,2019,Storm,Kill
BD,2019,Extreme temperature,Kill
CF,2019,Epidemic,Kill
CF,2019,Flood,Affected
CL,2019,Wildfire,Affected
CN,2019,Earthquake,Affected
CM,2019,Landslide,Kill
CG,2019,Flood,Kill
CG,2019,Flood,Affected
CO,2019,Flood,Kill
CO,2019,Flood,Affected
CO,2019,Flood,Kill
KM,2019,Storm,Affected
DJ,2019,Insect infestation,Waiting
ER,2019,Insect infestation,Waiting
ES,2019,Storm,SigDam
ES,2019,Storm,Affected
ET,2019,Epidemic,Kill
FJ,2019,Storm,Affected
FJ,2019,Epidemic,Affected
FR,2019,Earthquake,Affected
FR,2019,Storm,Affected
GB,2019,Extreme temperature,Kill
GB,2019,Flood,Waiting
GM,2019,Storm,--
ID,2019,Flood,Affected
ID,2019,Flood,Affected
IN,2019,Storm,Kill
IN,2019,Flood,Kill
IR,2019,Earthquake,Affected
JP,2019,Storm,Affected
LK,2019,Flood,Affected
LK,2019,Flood,Kill
LS,2019,Drought,Declar
MX,2019,Flood,Waiting
MY,2019,Flood,Affected
MY,2019,Flood,Affected
MY,2019,Flood,Affected
NZ,2019,Volcanic activity,Waiting
PK,2019,Epidemic,Affected
PH,2019,Earthquake,Affected
PH,2019,Earthquake,Kill
PH,2019,Earthquake,Affected
PH,2019,Storm,Affected
PH,2019,Storm,Kill
PT,2019,Storm,Affected
RW,2019,Flood,Affected
RW,2019,Flood,Kill
SA,2019,Flood,Waiting
SD,2019,Epidemic,Affected
SN,2019,Flood,--
SZ,2019,Drought,Declar
TO,2019,Epidemic,Affected
TO,2019,Epidemic,Affected
TZ,2019,Flood,Kill
TZ,2019,Insect infestation,Waiting
UG,2019,Landslide,Kill
UG,2019,Flood,Affected
UY,2019,Flood,Affected
VN,2019,Storm,Affected
US,2019,Storm,Kill
US,2019,Storm,Kill
VN,2019,Storm,Affected
US,2019,Wildfire,Declar
VE,2019,Flood,Affected
WS,2019,Epidemic,Affected
YE,2019,Epidemic,Affected
ZA,2019,Storm,Affected
ZA,2019,Drought,Affected
ZA,2019,Flood,Affected
CD,2019,Flood,Kill
CD,2019,Landslide,Kill
CD,2019,Epidemic,Kill
CD,2019,Epidemic,Kill
AL,2018,Flood,Waiting
BR,2018,Flood,Waiting
CU,2018,Storm,Affected
BD,2018,Flood,Kill
BO,2018,Flood,Affected
CO,2018,Flood,Affected
CR,2018,Flood,Affected
CA,2018,Wildfire,Declar
AR,2018,Flood,Affected
CN,2018,Flood,Kill
CN,2018,Flood,Kill
CO,2018,Flood,Kill
CN,2018,Storm,Affected
AR,2018,Storm,Affected
CN,2018,Storm,Affected
CN,2018,Storm,Kill
CN,2018,Storm,Affected
CN,2018,Storm,Affected
DJ,2018,Storm,Kill
AF,2018,Drought,SigDis
ES,2018,Storm,Waiting
CH,2018,Storm,Waiting
DE,2018,Storm,Kill
AF,2018,Flood,Kill
AF,2018,Landslide,Kill
AF,2018,Landslide,Kill
AF,2018,Flood,Kill
AF,2018,Flood,Kill
AO,2018,Flood,Affected
AO,2018,Epidemic,Affected
AR,2018,Drought,SigDis
AR,2018,Flood,Affected
AR,2018,Flood,Affected
AM,2018,Storm,Affected
AU,2018,Extreme temperature,SigDis
AU,2018,Drought,SigDis
AU,2018,Flood,Affected
BI,2018,Flood,Affected
BI,2018,Flood,Affected
BI,2018,Flood,Affected
BE,2018,Storm,Kill
BE,2018,Extreme temperature,Waiting
BD,2018,Storm,Kill
BD,2018,Extreme temperature,Kill
BD,2018,Flood,Kill
BG,2018,Flood,Affected
BY,2018,Flood,Affected
BO,2018,Epidemic,Kill
BR,2018,Landslide,Kill
BR,2018,Flood,Affected
BW,2018,Flood,Affected
CF,2018,Epidemic,Affected
CA,2018,Storm,Affected
CA,2018,Extreme temperature,Kill
CA,2018,Flood,Affected
CN,2018,Storm,Kill
CN,2018,Storm,Kill
CN,2018,Storm,Affected
CN,2018,Earthquake,Affected
CN,2018,Earthquake,Affected
CN,2018,Storm,Kill
CN,2018,Storm,Affected
CN,2018,Storm,Waiting
CN,2018,Storm,Kill
CN,2018,Flood,Affected
CN,2018,Flood,Kill
CN,2018,Flood,Affected
CN,2018,Flood,Kill
CN,2018,Flood,Kill
CN,2018,Flood,Kill
CI,2018,Flood,Kill
CM,2018,Epidemic,Kill
CR,2018,Drought,Declar
CU,2018,Storm,SigDam
CZ,2018,Extreme temperature,Kill
DE,2018,Extreme temperature,Waiting
DO,2018,Storm,Affected
DO,2018,Flood,Affected
DZ,2018,Flood,Affected
ES,2018,Extreme temperature,Waiting
FR,2018,Storm,Waiting
IT,2018,Storm,Kill
MG,2018,Storm,Kill
PH,2018,Storm,Affected
PH,2018,Storm,--
PH,2018,Storm,Kill
PR,2018,Storm,Affected
